id,Potencia,Radiacion,Temperatura,Temperatura panel
229,-2835.0,898.0,26.0,35.0
230,-2923.0,938.0,26.0,36.0
231,-2985.0,970.0,28.0,36.0
232,-3013.0,987.0,31.0,40.0
233,-3025.0,1005.0,32.0,41.0
234,-3026.0,1018.0,33.0,42.0
235,-3031.0,1029.0,34.0,43.0
236,-3038.0,1043.0,32.0,42.0
237,-3036.0,1052.0,33.0,42.0
238,-3040.0,1056.0,31.0,43.0
239,-3041.0,1065.0,34.0,42.0
240,-3044.0,1065.0,35.0,43.0
241,-3036.0,1057.0,37.0,45.0
242,-3035.0,1057.0,37.0,45.0
243,-3036.0,1060.0,37.0,44.0
244,-3042.0,1059.0,37.0,43.0
245,-3035.0,1060.0,37.0,44.0
246,-3032.0,1060.0,38.0,44.0
247,-3025.0,1058.0,39.0,44.0
248,-3034.0,1056.0,38.0,46.0
249,-3030.0,1035.0,39.0,45.0
250,-3037.0,1018.0,39.0,45.0
251,-3032.0,975.0,40.0,46.0
252,-3036.0,1000.0,41.0,48.0
253,-3035.0,983.0,40.0,49.0
254,-3034.0,1030.0,41.0,49.0
255,-3027.0,1049.0,41.0,50.0
256,-3025.0,1047.0,41.0,50.0
257,-3023.0,1040.0,42.0,50.0
258,-3035.0,1038.0,42.0,49.0
259,-3028.0,1043.0,41.0,49.0
260,-3022.0,1029.0,42.0,49.0
261,-3015.0,1018.0,42.0,50.0
262,-3014.0,1009.0,41.0,49.0
263,-2992.0,993.0,41.0,50.0
264,-2930.0,966.0,40.0,48.0
265,-2892.0,945.0,40.0,47.0
266,-2831.0,917.0,39.0,45.0
267,-2767.0,891.0,39.0,43.0
268,-2630.0,856.0,38.0,42.0
269,-2318.0,795.0,37.0,41.0
270,-1886.0,675.0,35.0,38.0
271,-1483.0,558.0,34.0,36.0
272,-1058.0,440.0,32.0,34.0
273,-673.0,321.0,32.0,32.0
274,-180.0,198.0,30.0,31.0
275,-87.0,66.0,29.0,29.0
276,-26.0,32.0,28.0,27.0
277,3.0,5.0,27.0,27.0
278,7.0,-4.0,26.0,26.0
279,7.0,-5.0,26.0,25.0
280,7.0,-5.0,25.0,25.0
281,7.0,-6.0,24.0,24.0
282,8.0,-5.0,24.0,23.0
283,7.0,-5.0,24.0,23.0
284,8.0,-5.0,23.0,23.0
285,8.0,-5.0,23.0,22.0
286,8.0,-5.0,23.0,22.0
287,7.0,-4.0,22.0,22.0
288,8.0,-4.0,22.0,22.0
289,8.0,-4.0,22.0,22.0
290,8.0,-4.0,22.0,22.0
291,8.0,-4.0,21.0,21.0
292,8.0,-4.0,21.0,21.0
293,8.0,-4.0,21.0,21.0
294,8.0,-4.0,20.0,20.0
295,8.0,-4.0,20.0,20.0
296,8.0,-4.0,19.0,19.0
297,8.0,-4.0,19.0,19.0
298,8.0,-4.0,19.0,18.0
299,8.0,-4.0,18.0,18.0
300,8.0,-4.0,18.0,18.0
301,8.0,-4.0,18.0,18.0
302,8.0,-4.0,17.0,17.0
303,8.0,-4.0,17.0,17.0
304,8.0,-4.0,17.0,17.0
305,8.0,-4.0,17.0,17.0
306,8.0,-4.0,16.0,16.0
307,8.0,-4.0,16.0,16.0
308,8.0,-4.0,16.0,16.0
309,8.0,-4.0,16.0,16.0
310,8.0,-3.0,16.0,16.0
311,8.0,-2.0,16.0,16.0
312,8.0,-1.0,16.0,16.0
313,8.0,-1.0,17.0,17.0
314,8.0,0.0,17.0,17.0
315,1.0,1.0,17.0,17.0
316,-32.0,8.0,17.0,17.0
317,-82.0,22.0,18.0,17.0
318,-151.0,43.0,18.0,18.0
319,-204.0,61.0,18.0,18.0
320,-224.0,74.0,19.0,19.0
321,-305.0,89.0,19.0,19.0
322,-360.0,100.0,19.0,20.0
323,-698.0,165.0,20.0,20.0
324,-561.0,297.0,22.0,23.0
325,-554.0,218.0,22.0,23.0
326,-720.0,236.0,22.0,23.0
327,-1232.0,440.0,24.0,25.0
328,-866.0,728.0,27.0,30.0
329,-3075.0,948.0,28.0,31.0
330,-3073.0,1052.0,30.0,34.0
331,-3063.0,1057.0,30.0,36.0
332,-3072.0,998.0,30.0,36.0
333,-3065.0,1057.0,32.0,37.0
334,-3064.0,1060.0,32.0,38.0
335,-3067.0,1061.0,33.0,38.0
336,-3061.0,1062.0,33.0,38.0
337,-3058.0,1064.0,34.0,39.0
338,-3065.0,1063.0,33.0,38.0
339,-3059.0,1066.0,33.0,39.0
340,-3053.0,1063.0,35.0,40.0
341,-3049.0,1061.0,35.0,41.0
342,-3046.0,1061.0,34.0,41.0
343,-3046.0,1059.0,35.0,40.0
344,-3046.0,1060.0,34.0,41.0
345,-3045.0,1060.0,36.0,42.0
346,-3036.0,1055.0,36.0,43.0
347,-3040.0,1054.0,37.0,44.0
348,-3039.0,1053.0,38.0,46.0
349,-3030.0,1043.0,38.0,47.0
350,-3040.0,1048.0,38.0,47.0
351,-3036.0,1046.0,39.0,48.0
352,-3038.0,1047.0,39.0,47.0
353,-3035.0,1043.0,40.0,50.0
354,-3034.0,1044.0,39.0,49.0
355,-3031.0,1044.0,39.0,49.0
356,-3034.0,1040.0,39.0,49.0
357,-3033.0,1034.0,39.0,48.0
358,-3023.0,1026.0,39.0,48.0
359,-3017.0,1012.0,39.0,48.0
360,-3008.0,998.0,39.0,48.0
361,-2992.0,985.0,39.0,48.0
362,-2954.0,970.0,39.0,45.0
363,-2871.0,939.0,39.0,46.0
364,-2778.0,910.0,38.0,44.0
365,-2471.0,856.0,37.0,43.0
366,-2032.0,729.0,35.0,41.0
367,-1540.0,593.0,34.0,38.0
368,-1104.0,455.0,32.0,35.0
369,-700.0,329.0,31.0,32.0
370,-188.0,195.0,29.0,30.0
371,-84.0,59.0,27.0,27.0
372,-24.0,21.0,25.0,25.0
373,5.0,2.0,25.0,24.0
374,7.0,-5.0,24.0,23.0
375,7.0,-5.0,23.0,23.0
376,8.0,-5.0,22.0,22.0
377,8.0,-5.0,22.0,21.0
378,8.0,-6.0,21.0,20.0
379,8.0,-6.0,20.0,20.0
380,8.0,-5.0,20.0,20.0
381,8.0,-5.0,19.0,19.0
382,8.0,-5.0,19.0,19.0
383,8.0,-5.0,18.0,18.0
384,8.0,-5.0,18.0,17.0
385,8.0,-6.0,17.0,16.0
386,8.0,-5.0,16.0,16.0
387,8.0,-4.0,16.0,16.0
388,8.0,-4.0,16.0,16.0
389,8.0,-5.0,16.0,16.0
390,8.0,-5.0,15.0,15.0
391,8.0,-5.0,15.0,15.0
392,8.0,-5.0,14.0,14.0
393,8.0,-5.0,14.0,14.0
394,8.0,-5.0,13.0,13.0
395,8.0,-5.0,13.0,13.0
396,8.0,-5.0,13.0,12.0
397,8.0,-5.0,12.0,12.0
398,8.0,-5.0,12.0,12.0
399,8.0,-5.0,12.0,11.0
400,8.0,-5.0,12.0,11.0
401,8.0,-4.0,12.0,11.0
402,8.0,-3.0,12.0,12.0
403,8.0,-3.0,12.0,12.0
